plant_name,insect_name,interaction_type,source_db,n_obs,geo,year_range
Rhadinopsylla dahurica,Alticola semicanus,pollination,WebOfLife,1,,
Rhadinopsylla pseudodahurica,Alticola semicanus,pollination,WebOfLife,1,,
Rhadinopsylla rothschildi,Alticola semicanus,pollination,WebOfLife,1,,
Wagnerina longicauda,Alticola semicanus,pollination,WebOfLife,1,,
Amphipsylla longispina,Cricetulus barabensis,pollination,WebOfLife,1,,
Frontopsylla hetera,Cricetulus barabensis,pollination,WebOfLife,2,,
Neopsylla bidentatiformis,Cricetulus barabensis,pollination,WebOfLife,3,,
Neopsylla galea,Cricetulus barabensis,pollination,WebOfLife,1,,
Neopsylla mana,Cricetulus barabensis,pollination,WebOfLife,2,,
Paradoxopsyllus integer,Cricetulus barabensis,pollination,WebOfLife,1,,
Pectinoctenus pavlovskii,Cricetulus barabensis,pollination,WebOfLife,4,,
Amphipsylla primaris,Eolagurus przewalskii,pollination,WebOfLife,1,,
Ophthalmopsylla kiritschenkovi,Eolagurus przewalskii,pollination,WebOfLife,1,,
Paradoxopsyllus dashidorzhii,Eolagurus przewalskii,pollination,WebOfLife,1,,
Paradoxopsyllus integer,Eolagurus przewalskii,pollination,WebOfLife,1,,
Amphipsylla longispina,Meriones unguiculatus,pollination,WebOfLife,1,,
Nosopsyllus laeviceps,Meriones unguiculatus,pollination,WebOfLife,2,,
Paradoxopsyllus integer,Meriones unguiculatus,pollination,WebOfLife,1,,
Paradoxopsyllus kalabukhovi,Meriones unguiculatus,pollination,WebOfLife,1,,
Stenoponia vlasovi,Ellobius talpinus,pollination,WebOfLife,1,,
Xenopsylla conformis,Ellobius talpinus,pollination,WebOfLife,1,,
Coptopsylla lamellifer,Spermophilus fulvus,pollination,WebOfLife,1,,
Echidnophaga oschanini,Spermophilus fulvus,pollination,WebOfLife,2,,
Frontopsylla macrophthalma,Spermophilus fulvus,pollination,WebOfLife,2,,
Xenopsylla conformis,Spermophilus fulvus,pollination,WebOfLife,2,,
Xenopsylla gerbilli,Spermophilus fulvus,pollination,WebOfLife,2,,
Xenopsylla hirtipes,Spermophilus fulvus,pollination,WebOfLife,2,,
Coptopsylla lamellifer,Dipus sagitta,pollination,WebOfLife,2,,
Ctenophthalmus dolichus,Dipus sagitta,pollination,WebOfLife,2,,
Desertopsylla rothschildi,Dipus sagitta,pollination,WebOfLife,2,,
Nosopsyllus laeviceps,Dipus sagitta,pollination,WebOfLife,1,,
Xenopsylla gerbilli,Dipus sagitta,pollination,WebOfLife,2,,
Citellophilus trispinus,Meriones meridianus,pollination,WebOfLife,2,,
Ctenophthalmus dolichus,Meriones meridianus,pollination,WebOfLife,2,,
Nosopsyllus aralis,Meriones meridianus,pollination,WebOfLife,1,,
Nosopsyllus tersus,Meriones meridianus,pollination,WebOfLife,2,,
Nosopsyllus turkmenicus,Meriones meridianus,pollination,WebOfLife,2,,
Stenoponia conspecta,Meriones meridianus,pollination,WebOfLife,1,,
Stenoponia vlasovi,Meriones meridianus,pollination,WebOfLife,2,,
Xenopsylla gerbilli,Meriones meridianus,pollination,WebOfLife,2,,
Ctenophthalmus dolichus,Meriones tamariscinus,pollination,WebOfLife,1,,
Nosopsyllus aralis,Meriones tamariscinus,pollination,WebOfLife,2,,
Nosopsyllus turkmenicus,Meriones tamariscinus,pollination,WebOfLife,1,,
Stenoponia conspecta,Meriones tamariscinus,pollination,WebOfLife,1,,
Stenoponia vlasovi,Meriones tamariscinus,pollination,WebOfLife,1,,
Xenopsylla gerbilli,Meriones tamariscinus,pollination,WebOfLife,1,,
Nosopsyllus aralis,Rhombomys opimus,pollination,WebOfLife,1,,
Nosopsyllus turkmenicus,Rhombomys opimus,pollination,WebOfLife,2,,
Rostropsylla daca,Rhombomys opimus,pollination,WebOfLife,2,,
Stenoponia vlasovi,Rhombomys opimus,pollination,WebOfLife,3,,
Synosternus longispinus,Rhombomys opimus,pollination,WebOfLife,1,,
Coptopsylla lamellifer,Diplomesodon pulchellum,pollination,WebOfLife,1,,
Nosopsyllus fidus,Diplomesodon pulchellum,pollination,WebOfLife,1,,
Xenopsylla conformis,Diplomesodon pulchellum,pollination,WebOfLife,1,,
Xenopsylla gerbilli,Diplomesodon pulchellum,pollination,WebOfLife,1,,
Desertopsylla rothschildi,Eremodipus lichtensteini,pollination,WebOfLife,2,,
Citellophilus trispinus,Meriones libycus,pollination,WebOfLife,2,,
Coptopsylla lamellifer,Meriones libycus,pollination,WebOfLife,2,,
Nosopsyllus aralis,Meriones libycus,pollination,WebOfLife,1,,
Nosopsyllus laeviceps,Meriones libycus,pollination,WebOfLife,4,,
Nosopsyllus tersus,Meriones libycus,pollination,WebOfLife,2,,
Nosopsyllus turkmenicus,Meriones libycus,pollination,WebOfLife,2,,
Rhadinopsylla cedestis,Meriones libycus,pollination,WebOfLife,2,,
Stenoponia conspecta,Meriones libycus,pollination,WebOfLife,1,,
Stenoponia vlasovi,Meriones libycus,pollination,WebOfLife,2,,
Xenopsylla conformis,Meriones libycus,pollination,WebOfLife,4,,
Xenopsylla gerbilli,Meriones libycus,pollination,WebOfLife,3,,
Xenopsylla hirtipes,Meriones libycus,pollination,WebOfLife,2,,
Xenopsylla skrjabini,Meriones libycus,pollination,WebOfLife,1,,
Rostropsylla daca,Spermophilopsis leptodactylus,pollination,WebOfLife,2,,
Xenopsylla gerbilli,Spermophilopsis leptodactylus,pollination,WebOfLife,2,,
Nosopsyllus aralis,Allactaga major,pollination,WebOfLife,1,,
Rhadinopsylla bivirgis,Allactaga major,pollination,WebOfLife,1,,
Neopsylla teratura,Ellobius talpinus,pollination,WebOfLife,1,,
Amphipsylla anceps,Microtus gregalis,pollination,WebOfLife,1,,
Amphipsylla asiatica,Microtus gregalis,pollination,WebOfLife,1,,
Neopsylla meridiana,Microtus gregalis,pollination,WebOfLife,1,,
Neopsylla teratura,Microtus gregalis,pollination,WebOfLife,1,,
Pectinoctenus nemorosa,Microtus gregalis,pollination,WebOfLife,1,,
Rhadinopsylla angusta,Microtus gregalis,pollination,WebOfLife,2,,
Frontopsylla ornata,Alticola argentatus,pollination,WebOfLife,3,,
Frontopsylla protera,Alticola argentatus,pollination,WebOfLife,1,,
Neopsylla meridiana,Alticola argentatus,pollination,WebOfLife,1,,
Amphipsylla primaris,Marmota caudata,pollination,WebOfLife,1,,
Nosopsyllus aralis,Spermophilus fulvus,pollination,WebOfLife,1,,
Nosopsyllus fidus,Spermophilus fulvus,pollination,WebOfLife,1,,
Rhadinopsylla cedestis,Spermophilus fulvus,pollination,WebOfLife,2,,
Frontopsylla macrophthalma,Meriones tamariscinus,pollination,WebOfLife,1,,
